date,time,type,title,description,speakers,room
2015-03-07,3:20 p.m. - 4:20 p.m.,Panel,Data smells,"In the world of software development, ""data smells"" is a term for those telltale signs that indicate bad software needs to be refactored. As data journalists, we encounter common types of data smells in the data we work with on every project. It's time to get organized. In this panel, let's refine a site we've prototyped to collect and categorize these data smells. We're not building a site here, but we should leave this panel with a clear idea of what the features of a data smells compendium would be. A wiki seems like an obvious choice, but how does an entry look? How do we organize and collect these smells? What can we do to automate the tedious process of vetting a data set? We'll explore these questions. The session will begin with a basic exploration of the concept of data smells. From there we will discuss several questions about how to build a site for cataloguing data smells: * How do we document data smells? * Where do we host this site? * What are all the points in the reporting process where errors occur? * Checklists? Can we automate smell checks? * Can we bundle smells for common types of data into guides? * Can we make the data smells idea approachable for readers?

This session is good for: Reporters, developers and researchers. We'll split participants up into groups to tackle different topics.","Jacob Harris, Chris Keller, Aurelia Moser",International 4-5
2015-03-07,3:20 p.m. - 4:20 p.m.,Panel,50 ideas in 60 minutes,"If you have a few data skills and you're looking for the right ideas to try them out, here are plenty -- whether you need something for tomorrow or you have a few weeks. We've got 50 proven winners for media outlets of all sizes, coming at you fast!

This session is good for: Reporters who want story ideas. All skill levels welcome.","Tyler Dukes, Mc Nelly Torres",International 6-7
2015-03-07,3:20 p.m. - 4:20 p.m.,Demo,Visualization for reporting,"Graphics! They can help us find interesting story ideas, or pinpoint numbers to use as evidence in our reporting. Often we think of graphics as an end product. When used for reporting, however, graphics are a powerful tool to explore trends and stories. We'll discus what types of visualizations can help you find stories you may miss, make some visualizations right in Excel, and demo some easy, non-programmatic tools that allow you to go deeper in your data. We'll also cover both numbers and unstructured text as data. These visualizations are not for publication, but rather a sketchpad for reporters and data analysts.","Coulter Jones, Michelle Minkoff",International 10
2015-03-07,3:30 p.m. - 4 p.m.,Special Event,Kickstarter for journalists 101 (Hosted by Kickstarter),"Join Kickstarter's Journalism Outreach Lead Nicole He for a primer on how to bring your journalism project to life. Whether you're a writer, a publisher, or you're launching something altogether new, we can show you strategies for success. You’ll learn how to structure a campaign, what kind of rewards work best, and how to spread the word about your project.",,International A
2015-03-07,4 p.m. - 5 p.m.,Special Event,Kickstarter office hours (Hosted by Kickstarter),Come by to ask questions or get one-on-one feedback on your Kickstarter idea. Email nicole@kickstarter.com to sign up for a slot or just drop in.,,International A
2015-03-07,4:30 p.m. - 5:30 p.m.,Hands-on,Simple stats in Excel (repeat session),"You don't need a special statistics program to run simple statistics. In this session, you'll learn how to compute some basic statistics in Excel and figure out what they mean.

This session will be most helpful if: You already are comfortable with using functions in Excel.",Norm Lewis,M106
2015-03-07,4:30 p.m. - 5:30 p.m.,Panel,Editing the data story,"*Moderated by David Armstrong, Georgia News Lab

Managing a data project presents challenges for any editor. Hear from a panel of veterans who have successfully guided data-based stories from conception to conclusion.","David Armstrong, Joel Engelhardt, Shawn McIntosh, John Walton",International 2-3
2015-03-07,4:30 p.m. - 5:30 p.m.,Panel,How to not make a fool of yourself with statistics,"*Moderated by John Perry, The Atlanta Journal-Constitution

Advanced statistics provides powerful tools for finding stories in a piles of data. But with greater power come greater responsibility. And when journalists venture beyond simple descriptive statistics, they are entering a jungle wilderness where you can become easily lost or succumb to hidden dangers. This panel will tell you how to recognize and avoid the dangers, and how to find the proper guide.","Rob Barry, Holly Hacker, Jaxk Reeves, John Perry",International 8-9
2015-03-07,4:30 p.m. - 5:30 p.m.,Panel,Mise en Place: What a restaurant kitchen can teach us about deadline coding,"*Moderated by Jeremy Bowers, The New York Times

A restaurant kitchen is a pressure cooker, not unlike a newsroom. By following the tenets of Escoffier's ""Brigade de Cuisine,"" we can bring order to the chaos that is programming on a deadline. Elements include: Menu construction and story pitches; the ""Tailler"" and prototyping; mise en place and tools/automation; farms and markets and making your own data sets. As a bonus, we might also do: Barbecue and long-form; baking and precision journalism; pickles/smoking and cache/performance under load.",Jeremy Bowers,International 6-7
2015-03-07,4:30 p.m. - 5:30 p.m.,Hands-on,Advanced Python,"Picking up where the intermediate session leaves off, this workshop will introduce some interesting, exciting and useful language features of Python in the context of building news applications and tools. Topics include advanced object oriented design (inheritance vs. composition, multiple inheritance, mixins), functional programming (decorators, map/reduce, lambda functions) and test-driven development.

To get the most out of this class, you should have written a moderately complex Python application and wondered if there was a better way.",Geoff Hing,M107
2015-03-07,4:30 p.m. - 5:30 p.m.,Hands-on,Intro to D3 (repeat session),"Learn the basics of using D3 to make customized, elegant data visualizations. This JavaScript library gives you the power to draw online by harnessing the power of SVGs. We'll explain what makes D3 so great and demonstrate a step-by-step guide for making a chart that you can put to work in your own newsroom.

This session is good for: Those with some JavaScript knowledge.","Darla Cameron, Alex Bordens",M101
2015-03-07,4:30 p.m. - 5:30 p.m.,Demo,On repeat: How to use loops to explain anything,"From animated gifs illustrating how a car engine works to looping interactives demonstrating sampling error, we're seeing more and more ways of presenting ideas, explaining processes, and just capturing small moments in endless, repeating sequences. We'll take a look at why loops work so well as explanatory tools, how they've been used in the newsroom, and how you can create your very own.

No prerequisites but if you want to make your own animated gif, we'll be using Quicktime and Photoshop.",Lena Groeger,International 10
2015-03-07,4:30 p.m. - 5:30 p.m.,Hands-on,Joining and advanced operations in SQLite,"The final session of this workshop will focus on “join” operations. We'll take multiple data sets and learn how to combine their records on a shared key -- a simple yet powerful tool for exploring correlations while piecing together your story. This class will also introduce the SQLite command line interface, including importing/exporting data and basic scripting concepts to show how you can automate database tasks and queries.

Attendance at the earlier SQLite session is not required to participate in this session.",Matt Kiefer,M109
2015-03-07,4:30 p.m. - 5:30 p.m.,Panel,Reporting out the data story,"*Moderated by Steve Myers, The Lens

After wheedling, cajoling and threatening to get your hands on an electronic database, the real work begins. How do you figure out whether the data says what it seems to say? How do you discover its shortcomings, and how do you work around them? Are some datasets just too riddled with errors to be useful, and if so, how do you know when give up? We'll discuss techniques and workflows.","Steve Myers, Andrew Lehren, James Ball, Kendall Taggart",International 4-5
2015-03-07,4:30 p.m. - 5:30 p.m.,Hands-on,Python 3,Continuation of Python 2,"Ryan Nagle, Marcos Vanetta, Aaron Williams",M104
2015-03-07,4:30 p.m. - 5:30 p.m.,Hands-on,Web inspector for complex scrapes,"This workshop focuses on more complex scraping problems from grabbing the data behind an interactive map to navigating an ASP website. Rather than focus on how to accomplish this in a particular programming language, this class will show you how to use the web inspector to get the information you need to build an efficient scraper. Some hints on how to accomplish this using either Python or Ruby will be provided.

NOTE: Registration is required for this session. Click here to sign up.",Eric Sagara,M102
2015-03-09,8:30 a.m. - 10:30 a.m.,Special Event,Conference sales (Sunday),"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.",,International Foyer
2015-03-09,9 a.m. - 10 a.m.,Panel,The best of broadcast investigations 2014,"*Moderated by Mark Horvit, IRE/NICAR

Watch and listen as more than a dozen photographers, editors and producers behind this year's winning IRE Awards entries describe how they did it and what they were really thinking when things got hard.",Mark Horvit,International 6-7
2015-03-09,9 a.m. - 10 a.m.,Demo,Shedding light on the dark web: Using tech to build corporate investigations,"Normal search engines only reach 10% of the data available online. How do investigative journalists go beyond Google and find the kind of corporate information hidden in the dark web that can break a story wide open? Through real examples from 2014, including the successful investigation of a massive $11 billion tax fraud in Ukraine, the Arachnys team will highlight how snippets of corporate data can be knitted together to create major corruption scoops. They will also demo the Arachnys research platform and show how it supports organisations such as the International Consortium of Investigative Journalists (ICIJ), FirstLook Media and Intelligence Online to build investigations.

The Arachnys Platform is a premium service for corporate and banking customers doing commercial due diligence. However we also work with investigation units within several national newspapers and media outlets at a reduced rate depending on the size of the organisation. We also undertake pro-bono work with freelance investigative journalists depending on their project.","David Buxton, Ed Long",International 10
2015-03-09,9 a.m. - 10 a.m.,Hands-on,Lightning fast data analysis with Tableau: Part one,"Tableau is a powerful tool for data analysis that queries your data using a visual interface, with the ability to merge multiple datasets totaling millions of rows -- and it's free for IRE members. This session will teach you how to reshape and analyze pesky nested spreadsheets, join tables, group and filter dimensions, and do some basic calculations such as percent change and rate -- all by simply dragging, dropping and clicking your mouse (okay, and a little typing). You'll save hours of work not having to type out long, complicated SQL statements. This session will be using Tableau's newest release for Macs.

This session is good for: Those who have some familiarity with spreadsheets.","Sarah Ryley, Jewel Loree",M101
2015-03-09,9 a.m. - 10 a.m.,Hands-on,Installation party,"Many conference sessions cover tools and applications that are open source and available to journalists for free. During this session we invite you to bring your laptop and we'll help you get set up with the tools you've heard about and are itching to try out. We will rely on volunteers to help out, so what you're able to  install and how long it takes will depend on demand. Remember also that you must have administrative privileges on your machine; if you're blocked from these privileges, we won't be able to override that.",,M109
2015-03-09,9 a.m. - 10 a.m.,Hands-on,Advanced SQL using PostgreSQL,"Using PostgreSQL and the pgAdmin interface, we will explore advanced SQL techniques to interview and clean data, go from basic math to advanced stats, and create ranks and rates.

This session is good for: People who are comfortable with SQL basics -- sorting, filtering, counting -- and familiar with joins.",Anthony DeBarros,M104
2015-03-09,9 a.m. - 12:20 p.m.,Panel,OpenElections hackathon,"The OpenElections team will be tackling Georgia election results at NICAR this year, and we're looking for coders as well as anyone interested in helping out, and spending a few hours with our team. Here's how you can be involved:

Election Results Data Scraper Development Help us load and parse Georgia election results from 2000-2014, figuring out how to deal with CSV, XML and HTML formats. We don't have to parse PDFs! Contributors can pick a year to work on, and work in teams.

Documentation and Use Cases Help us flesh out the guides that articulate all of the processes volunteers need to know to work with us, as well as the documentation that other developers will need in order to build on our work. Also, or alternately, come by and give us your use cases! We will be collecting descriptions of how all kinds of journalists use elections data now, and how you would like OpenElections to work for you.

Your time and expertise would be most appreciated either all or part of the day. RSVP to openelections@gmail.com",,International 2-3
2015-03-09,9 a.m. - 10 a.m.,Panel,Game of life: Data from day one to the day you die,"Based on the family favorite board game, we'll take you through your life as you generate data. We'll talk about stories that have used various data sets and tips about getting the data. Special note: This session will feature festive props and costumes.

This session is good for: Anyone. Attendees will leave with story ideas and data sources.","Jaimi Dowdell, Jennifer LaFleur",International 8-9
2015-03-09,9 a.m. - 12:20 p.m.,Hands-on,Excel en Español,"This three-hour hands-on workshop teaches journalists, in Spanish, how to use Excel, a powerful electronic spreadsheet for deadline and beat reporting on budgets, salaries, elections and more. Learn from fluent teachers how to dig deeper using the Internet and find valuable datasets for your stories. Seating is limited.

Two options are available for attending this training:

Option #1: Current CAR conference attendees can attend this training for no additional charge, however you must complete the registration form so we can hold a spot for you.

Option #2: If you are not attending the CAR conference, registration for this training is $35. In addition, your IRE membership must be current through April 1.

If you are interested in registering for this session, please register on the forms below.

Register (English)

Register (Español)

If you have any questions, please email training@ire.org","Kevin Crowe, Jeff Kelly Lowenstein, Lucio Villa",M103
2015-03-09,9 a.m. - 10 a.m.,Hands-on,Tools for cracking PDFs (repeat session),Ever receive a FOIA response that has all the data you want -- but in PDF files? Ever try accessing that data in Excel or database software? In this session you'll get hands-on experience cracking PDFs so you can analyze the data for stories.,Danielle Cervantes,M106
2015-03-09,9 a.m. - 12:20 p.m.,Hands-on,Just enough Django: Distributed data entry in the newsroom (pre-registered attendees only),"Ben Welsh presents a step-by-step guide to creating a simple web application that empowers you to enlist reporters in data entry and refinement. The 3-hour, hands-on tutorial will teach you how to take advantage of the Django Web framework's powerful administration panel, without bothering with all the other web developer crap. You will learn how to design database tables, load in data and quickly create a system for others to improve it. Preregistration is required and seating is limited. Laptops will be provided for the training.

**Prerequisites: If you have a good attitude and know how to take a few code crashes in stride, you are qualified for this class.

Attendees must be registered for the conference to attend this workshop.

NOTE: Registration is required for this session. Click here to sign up.","Ken Schwencke, Ben Welsh",M102
2015-03-09,9 a.m. - 10 a.m.,Hands-on,Introduction to mapping: Importing and displaying data geographically with QGIS (repeat session),"QGIS is the leading free, open source Geographic Information System (GIS) program. You'll learn how to use QGIS to make a simple thematic map, with areas colored according to data, plus a map of points scaled according to values in the data, how to set their map projections, and how to export them as a vector graphic.

No prior experience of GIS/mapping required.",Alex Richards,M107
2015-03-09,9 a.m. - 12:20 p.m.,Hands-on,Mini Boot Camp (Sunday) *pre-registered attendees only,This is a continuation of Saturday's hands-on workshop.  Preregistered attendees only.,"David Herzog, Denise Malan",M105
2015-03-09,10:10 a.m. - 11:10 a.m.,Hands-on,Using Silk.co to analyze data and publish beautiful maps and charts in minutes,"Silk is an all-purpose tool for data journalism that anyone can start using immediately, without training or tech skills. Starting from a simple spreadsheet, Silk allows anyone to quickly generate data insights and build publish-ready, mobile-friendly data visualizations. In this hands-on session, you'll analyze upload a spreadsheet of Kickstarter project results and analyze the data to find stories. If time permits, we'll also convert a spreadsheet of crowdsourced data on 2014 deadly police shootings in California into Silk visualizations and publish those on a blog.",Alex Salkever,M106
2015-03-09,10:10 a.m. - 11:10 a.m.,Hands-on,Making your own data bot,"Heard about Sensor Journalism and want to get your hands dirty? We've got a handful of devices and some sensors. Come learn how to combine the physical world and the Internet by making a bot that records data.

This session is good for anyone.",Matthew Waite,M104
2015-03-09,10:10 a.m. - 11:10 a.m.,Panel,Deep dives,"*Moderated by Mark Horvit, IRE/NICAR

We'll give three journalists a chance to talk about their data-driven projects. This session will focus on news apps. Check back here for more information.","Mark Horvit, Tom Nehil, Cedric Sam",International 6-7
2015-03-09,10:10 a.m. - 11:10 a.m.,Hands-on,Lightning fast data analysis with Tableau: Part two,"This session will use some of the tools covered in the first data analysis with Tableau session, and go deeper with more complex calculated fields, parameters and regression analyses. We'll end with a freestyle session – you'll call out the problem and we'll show you how to solve it.

Prerequisites: It will be helpful if you took the first data analysis with Tableau session, or already have familiarity with the software","Ben Jones, Sarah Ryley",M101
2015-03-09,10:10 a.m. - 11:10 a.m.,Hands-on,Mapping 2: Manipulating and editing geographic data with QGIS (repeat session),"QGIS is a powerful tool for processing data for use by other mapping applications, including for web mapping. In this class you'll learn how to join tables of data to existing shapefiles and how to save data in formats commonly used for web mapping. You'll also learn how to edit geographic data, and how to process data consisting of hundreds or thousands of points to give a more meaningful summary display.

This session will be most helpful if: You completed the Mapping 1 class, or have some prior experience working with QGIS",Alex Richards,M107
2015-03-09,10:10 a.m. - 11:10 a.m.,Panel,Finding data trails,Data exist. It's up to us to find it. We will take you to the hidden places and best techniques to unearth the goldmines.,Megan Luther,International 8-9
2015-03-09,10:10 a.m. - 11:10 a.m.,Demo,Using machine learning to deal with dirty data: a Dedupe demonstration,"Tired of popping the same data set into OpenRefine every time you want to answer basic questions like “who gave the most money to politicians in Idaho this year?” Sure you are. We all are. Then come see a demonstration of Dedupe, a tool that uses machine learning to identify unique individuals, organizations and other entities in the kinds of messy datasets that journalists encounter the most. We’ll go over the basics of how the tool works and give a demonstration of how to use it to find the unique entities in your datasets.","Jeff Ernsthausen, Derek Eder, Eric van Zanten, Forest Gregg",International 10
2015-03-09,10:10 a.m. - 11:10 a.m.,Hands-on,Under pressure: Real life in real time with breaking news (repeat session),"What do you do when a bridge collapses, a plane crashes, oil spills or a building explodes? In this session you'll walk through a real-life breaking news scenario tackling it as an investigator. We'll let you try it on your own then we'll walk you through some resources you might not have known existed. Beat your competition with these tips and sources. Be ready to participate in real time, actual breaking news simulation!",Stephen Stock,M109
2015-03-09,11:20 a.m. - 12:20 p.m.,Hands-on,CAR wash,"Dirty data lurk everywhere: in text files, spreadsheets, databases, and PDFs. We'll walk you through some examples of the most common types of dirty data, point out telltale signs of data illness and explain how you can whip data into shape using some simple tools and methods.

This session will be most useful if: You have some experience working with data in columns and rows, in spreadsheets or database managers.",Sean Sposito,M104
2015-03-09,11:20 a.m. - 12:20 p.m.,Demo,Advanced DocumentCloud: Examples and suggestions,Take a deeper dive into DocumentCloud and its API and bring your ideas for features you'd like to see in the platform.,"Anthony DeBarros, Ted Han",International 10
2015-03-09,11:20 a.m. - 12:20 p.m.,Panel,Career roundtable,"*Moderated by Mark Horvit, IRE/NICAR

Wondering what you need to learn to take that next step in your career? Interested in which skills news organizations are prioritizing now, and what might set you up for what they'll want next? Drop by and join us for a discussion of the skills that will help you progress.

This session is good for: Journalists of all levels who want to take their career to the next level or those looking to change direction. Hear tips on how to make it happen and ask for advice on your own path.","Sarah Cohen, Stephen Stock, Mark Horvit, Corey Johnson",International 6-7
2015-03-09,11:20 a.m. - 12:20 p.m.,Hands-on,Take home a text editor,"At some point during the conference, in at least one hands-on session, you will probably use a text editor: Notepad++ or Sublime Text, for example. You might ask: What exactly is a text editor and why does everyone use them? In this session we’ll talk about why you should have a good text editor and what they can do for you that other programs (such as Word) can’t. We’ll talk about which ones are the best, and since most are free and easily to install, by the end of the session you will be ready (and eager) to take one home!",Liz Lucas,M109
2015-03-09,11:20 a.m. - 12:20 p.m.,Hands-on,"Mine the documents, win a Pulitzer: reporting with Overview","Overview is an open source reporting tool built to handle thousands or millions of documents. It's been used to track stolen maple syrup, uncover bribes to a president, and on both the winner and finalist for the 2014 Pulitzer Prize in public service. Come learn how these and other stories were reported and get some hands-on time with the system. You'll learn to search, visualize, find entities, map topics, tag and cull your own large document collections while trading document mining war stories with our friendly team. Plus, learn how to create new visualizations and integrate Overview into your workflow through its powerful API.",Jonathan Stray,M106
2015-03-09,11:20 a.m. - 12:20 p.m.,Panel,Mining searchable databases for stories,"The Web is teeming with searchable databases that have story tips and nuggets just waiting for you. In this session we'll share some international and U.S. based links, show you ways to get most out of your online database searches and provide tips for knowing when it's time to forego the searchable database and request the full dataset from the source. We'll also offer some inspiration in the form of story examples done by veteran journalists using data readily available on the Web.

This session is good for: Anyone.","Jonathan Stoneman, Jaimi Dowdell",International 8-9
